trip_id,status,relative_path,map,weather_mode,time_of_day,scenario,frames,source_frames,removed_frames,duration_sec,fps,image_2_files,image_3_files,depth_files,calib_files,label_files,labels,event_count,safe_driving_score,harsh_brake_count,harsh_accel_count,harsh_corner_count,near_miss_count,speeding_pct_time,tailgating_pct_time,random_seed,speed_limit_kmh,json_bytes,json_gz_bytes,trip_bytes,json_sha256,json_gz_sha256,error_total
T14-Sample,valid,T14-Sample/T14-Sample,Town10HD,rain,twilight,none,441,600,159,22.05,20,441,441,89,441,441,1877,0,0.0,43,64,157,18,39.0,22.22,1963801410,30.0,5324399,361172,160446583,e36a73ccc43c821e83cb32cf905b3d40f9fb921b2e83ef67af244e62fbc907a6,434e9cf5c0a2b061aa526ca92bb50f0be301a23bea058e69176ef7ea061c8d65,0
T15-Sample,valid,T15-Sample/T15-Sample,Town10HD,fog,day,none,498,600,102,24.9,20,498,498,100,498,498,2529,0,0.0,44,12,162,84,49.4,1.61,1370182455,30.0,5368749,389303,187464125,49fc4a3492b374efb6e793d80fb18aa900ae20a88380e5a7b0cdc39a84964738,33da13b4d929639d4f7f8d98d529c617488a1f9b5e57db40496920d5aa565848,0
T16-Sample,valid,T16-Sample/T16-Sample,Town10HD,overcast,day,none,555,600,45,27.75,20,555,555,111,555,555,4837,0,0.0,87,23,63,38,20.9,5.05,490675660,30.0,7002745,414482,201048207,fd5d3b2463bf86a1fc81e337a4ccb1571277efbfff0946c2891a32fbe235f73b,cc05b4ad72ed9f0222e8c0718549076b7c6fc46157221c9bdc0ec14ea25035bd,0
T17-Sample,valid,T17-Sample/T17-Sample,Town10HD,storm,day,none,379,600,221,18.95,20,379,379,76,379,379,1735,0,0.0,89,71,85,29,53.56,20.84,1885412680,30.0,4470083,313677,135444250,c35a83c379e1b65f1b1fecb8d4d444702f41250afedcdddc3861b01cce7500ea,f35de04aa52a563e9fc5b98bf1a0b01949e7631529224accae93f59cd865eb80,0
T18-Sample,valid,T18-Sample/T18-Sample,Town10HD,clear_day,day,none,455,600,145,22.75,20,455,455,91,455,455,2120,0,0.0,78,49,67,39,31.21,1.54,836342289,30.0,6149828,372069,171582205,a363c58659b1798cd37280550888f4422c679f4d8a8dbcaca961675789f6511b,11d0a33cfadb95261b07c2241574e1ebf28b91d0d6d7faa6225fd8b5c0a4f421,0
T19-Sample,valid,T19-Sample/T19-Sample,Town10HD,dawn,twilight,none,547,600,53,27.35,20,547,547,110,547,547,2858,0,0.0,53,50,251,12,27.24,0.0,1603217861,30.0,6497215,453441,210026700,0aabc97d8f026ee3c97fe00e157d5f2956a17d94e9b4ab54d19a6b87ef7a3590,54acbfa2679716f1f2158f0724db541c4363980ee6da1b6a9b0a7ebed0841a3c,0
T20-Sample,valid,T20-Sample/T20-Sample,Town10HD,dusk,twilight,none,313,600,287,15.65,20,313,313,63,313,313,830,0,0.0,41,11,90,17,75.08,0.0,1749839766,30.0,2304803,150480,118159014,662a12f3c3dd1344a35abd992216b7443b716725ffca64a1c9eeb4192d560fd4,48e8c4126fa8e17b0e1c34e522fad278f9ea9fc3b0ba6fe705e152c91762e1aa,0
T21-Sample,valid,T21-Sample/T21-Sample,Town10HD,night,night,none,383,600,217,19.15,20,383,383,77,383,383,2065,0,0.0,28,64,132,20,79.37,0.0,2054257963,30.0,5168435,366746,143470605,dcd0e34e3516f0c66097a24e9fe0eca4c280bf25d6d0db675275bfc7adeae2d6,e2edf251bdad1e410ed0d3cb32967e0464e9bf16e90bec0672718aee576ca3c8,0
T22-Sample,valid,T22-Sample/T22-Sample,Town10HD,dust,night,lead_lane_change,506,600,94,25.3,20,506,506,102,506,506,1978,1,0.0,47,35,94,17,67.98,0.0,1488449227,30.0,5853297,420050,195748876,2345513452079a4da7e8eed4a7753fb3302e051ad4a60c974e771abe2962a8f5,acf7bd1cb8f1dfbe5f4b08e67bfc38c6d1530b98a211771853f5d47cd3d02a95,0
T23-Sample,valid,T23-Sample/T23-Sample,Town10HD,dawn,twilight,none,545,600,55,27.25,20,545,545,109,545,545,1367,0,0.0,11,109,98,29,35.05,0.0,1290987110,30.0,6874609,398357,212677624,1ec3696250301f127e666381efd6cd0259610e8df2c448165e4f6b67a9213f1f,87cde52dd16c2045f7b10c982483af816098fbf6e06c9ac033e1a5450b4e4669,0
